Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
7250,The Comedy of Errors,Comedy,Adriana,5,1,144,A most outrageous fit of madness took him;,female
7251,The Comedy of Errors,Comedy,Adriana,5,1,145,"That desperately he hurried through the street,",female
7252,The Comedy of Errors,Comedy,Adriana,5,1,146,"With him his bondman, all as mad as he--",female
7253,The Comedy of Errors,Comedy,Adriana,5,1,147,Doing displeasure to the citizens,female
7254,The Comedy of Errors,Comedy,Adriana,5,1,148,"By rushing in their houses, bearing thence",female
7255,The Comedy of Errors,Comedy,Adriana,5,1,149,"Rings, jewels, any thing his rage did like.",female
7256,The Comedy of Errors,Comedy,Adriana,5,1,150,"Once did I get him bound and sent him home,",female
7257,The Comedy of Errors,Comedy,Adriana,5,1,151,"Whilst to take order for the wrongs I went,",female
7258,The Comedy of Errors,Comedy,Adriana,5,1,152,That here and there his fury had committed.,female
7259,The Comedy of Errors,Comedy,Adriana,5,1,153,"Anon, I wot not by what strong escape,",female
7260,The Comedy of Errors,Comedy,Adriana,5,1,154,He broke from those that had the guard of him;,female
7261,The Comedy of Errors,Comedy,Adriana,5,1,155,"And with his mad attendant and himself,",female
7262,The Comedy of Errors,Comedy,Adriana,5,1,156,"Each one with ireful passion, with drawn swords,",female
7263,The Comedy of Errors,Comedy,Adriana,5,1,157,"Met us again and madly bent on us,",female
7264,The Comedy of Errors,Comedy,Adriana,5,1,158,"Chased us away; till, raising of more aid,",female
7265,The Comedy of Errors,Comedy,Adriana,5,1,159,We came again to bind them. Then they fled,female
7266,The Comedy of Errors,Comedy,Adriana,5,1,160,"Into this abbey, whither we pursued them:",female
7267,The Comedy of Errors,Comedy,Adriana,5,1,161,And here the abbess shuts the gates on us,female
7268,The Comedy of Errors,Comedy,Adriana,5,1,162,"And will not suffer us to fetch him out,",female
7269,The Comedy of Errors,Comedy,Adriana,5,1,163,Nor send him forth that we may bear him hence.,female
7270,The Comedy of Errors,Comedy,Adriana,5,1,164,"Therefore, most gracious duke, with thy command",female
7271,The Comedy of Errors,Comedy,Adriana,5,1,165,Let him be brought forth and borne hence for help.,female
7272,The Comedy of Errors,Comedy,Duke Solinus,5,1,166,"Long since thy husband served me in my wars,",male
7273,The Comedy of Errors,Comedy,Duke Solinus,5,1,167,"And I to thee engaged a prince's word,",male
7274,The Comedy of Errors,Comedy,Duke Solinus,5,1,168,"When thou didst make him master of thy bed,",male
7275,The Comedy of Errors,Comedy,Duke Solinus,5,1,169,To do him all the grace and good I could.,male
7276,The Comedy of Errors,Comedy,Duke Solinus,5,1,170,"Go, some of you, knock at the abbey-gate",male
7277,The Comedy of Errors,Comedy,Duke Solinus,5,1,171,And bid the lady abbess come to me.,male
7278,The Comedy of Errors,Comedy,Duke Solinus,5,1,172,I will determine this before I stir.,male
7279,The Comedy of Errors,Comedy,Servant,5,1,173,"O mistress, mistress, shift and save yourself!",male
7280,The Comedy of Errors,Comedy,Servant,5,1,174,"My master and his man are both broke loose,",male
7281,The Comedy of Errors,Comedy,Servant,5,1,175,Beaten the maids a-row and bound the doctor,male
7282,The Comedy of Errors,Comedy,Servant,5,1,176,Whose beard they have singed off with brands of fire;,male
7283,The Comedy of Errors,Comedy,Servant,5,1,177,"And ever, as it blazed, they threw on him",male
7284,The Comedy of Errors,Comedy,Servant,5,1,178,Great pails of puddled mire to quench the hair:,male
7285,The Comedy of Errors,Comedy,Servant,5,1,179,My master preaches patience to him and the while,male
7286,The Comedy of Errors,Comedy,Servant,5,1,180,"His man with scissors nicks him like a fool,",male
7287,The Comedy of Errors,Comedy,Servant,5,1,181,"And sure, unless you send some present help,",male
7288,The Comedy of Errors,Comedy,Servant,5,1,182,Between them they will kill the conjurer.,male
7289,The Comedy of Errors,Comedy,Adriana,5,1,183,"Peace, fool! thy master and his man are here,",female
7290,The Comedy of Errors,Comedy,Adriana,5,1,184,And that is false thou dost report to us.,female
7291,The Comedy of Errors,Comedy,Servant,5,1,185,"Mistress, upon my life, I tell you true;",male
7292,The Comedy of Errors,Comedy,Servant,5,1,186,I have not breathed almost since I did see it.,male
7293,The Comedy of Errors,Comedy,Servant,5,1,187,"He cries for you, and vows, if he can take you,",male
7294,The Comedy of Errors,Comedy,Servant,5,1,188,To scorch your face and to disfigure you.,male
7295,The Comedy of Errors,Comedy,Servant,5,1,189,"Hark, hark! I hear him, mistress. fly, be gone!",male
7296,The Comedy of Errors,Comedy,Duke Solinus,5,1,190,"Come, stand by me; fear nothing. Guard with halberds!",male
7297,The Comedy of Errors,Comedy,Adriana,5,1,191,"Ay me, it is my husband! Witness you,",female
7298,The Comedy of Errors,Comedy,Adriana,5,1,192,That he is borne about invisible:,female
7299,The Comedy of Errors,Comedy,Adriana,5,1,193,Even now we housed him in the abbey here;,female
7300,The Comedy of Errors,Comedy,Adriana,5,1,194,"And now he's there, past thought of human reason.",female
7301,The Comedy of Errors,Comedy,Adriana,5,1,195,ANTIPHOLUS,female
7302,The Comedy of Errors,Comedy,Of Ephesus,5,1,196,"Justice, most gracious duke, O, grant me justice!",male
